~,,,~
cd,~,,cd ~
cat,/etc/passwd,|,cat /etc/passwd | grep ubuntu
cat,/etc/group,|,cat /etc/group | grep ubuntu
who,,,who
cat,/etc/group,,cat /etc/group
tail,-5,/etc/group,tail -5 /etc/group
sudo,adduser,user03,sudo adduser user03
sudo,adduser,user04,sudo adduser user04
ls,/home,,ls /home
is,user03,,is user03
id,user04,,id user04
tail,-5,/etc/passwd,tail -5 /etc/passwd
sudo,groupadd,cegrp,sudo groupadd cegrp
tail,-5,/etc/group,tail -5 /etc/group
sudo,usermod,-g,sudo usermod -g 1004 user03
id,user03,,id user03
sudo,usermod,-g,sudo usermod -g cegro user04
sudo,usermod,-g,sudo usermod -g cegrp user04
,,,
cat,/etc/group,},cat /etc/group } grep cegrp
cat,/etc/group,|,cat /etc/group | grep cegrp
group,,,group
groups,,,groups
sudo,apt,install,sudo apt install -y docker.io
docker,--version,,docker --version
docker,images,,docker images
docker,ps,-a,docker ps -a
sudo,usermod,-aG,sudo usermod -aG docker $USER
docker,ps,-a,docker ps -a
$newgrp,docker,,$newgrp docker
newgrp,docker,,newgrp docker
docker,ps,-a,docker ps -a
docker,images,,docker images
docker,pull,oracleinanutshell/oracle-xe-11g,docker pull oracleinanutshell/oracle-xe-11g
ㅣㄴ,,,ㅣㄴ
ls,,,ls
~$,touch,a.txt,~$ touch a.txt b.txt
ls,,,ls
touch,a.txt,b.txt,touch a.txt b.txt
ls,,,ls
echo,"print,data",echo "print data" > c.txt
ls,,,ls
echo,"print,data",echo "print data" >> c.txt
cat,c.txt,,cat c.txt
nano,e.txt,,nano e.txt
nano,poem.txt,,nano poem.txt
tail,-5,poem.txt,tail -5 poem.txt
cat,-n,poem.txt,cat -n poem.txt
tail,-5,-n,tail -5 -n poem.txt
tail,-n,-5,tail -n -5 poem.txt
vi,poem.txt,,vi poem.txt
ls,dir,,ls dir
ls,,,ls
vi,poem.txt,,vi poem.txt
